composer,id,movie imdb,movie title,spotify,title
John Williams,1,tt0076759,Star Wars,3ZSf1TJZyRb0rnWYuUtdX4,Main Title
John Williams,2,tt0076759,Star Wars,5ZSAdkQb23NPIcUGt6exdm,Cantina Band
John Williams,3,tt0073195,Jaws,55xly70WJY1cx5qsoogaqs,Main Title
Howard Shore,4,tt0120737,The Lord of the Rings: The Fellowship of the Ring,644es5aYPJghtZLjM1rmSP,Concerning Hobbits
Howard Shore,5,tt0120737,The Lord of the Rings: The Fellowship of the Ring,6HYCOHzY2xR4W2dOokH3ed,The Bridge of Khazad Dum
Klaus Badelt,6,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,08QaHlMPWuO5PUxjl61bXn,He's a pirate
Hans Zimmer,7,tt1375666,Inception,7ifWgqspqvPpQWXCfyrho4,Dream Within a Dream
John Williams,8,tt0241527,Harry Potter and the Sorcerer's Stone,1n8NKQRg8LVHy7oUhUgbFF,Hedwig's Theme
John Williams,9,tt0107290,Jurassic Park,2TZbQZXOuR8osP2AK8yYMN,Theme From Jurassic Park
James Horner,10,tt0120338,Titanic,42lyCSXzWizBfGmqE1Silk,My Heart Will Go On
Justin Hurwitz,11,tt3783958,La La Land,5kRBzRZmZTXVg8okC7SJFZ,Another Day of Sun
Hans Zimmer,12,tt0172495,Gladiator,1bXD4xwHD4GPePN5Utp7Ch,Elysium
Robert Fitzgerald Diggs,13,tt0266697,Kill Bill: Vol. 1,6S9lcjREUTU4Yv5y7oMcv2,Woo Hoo
Chuck Berry,14,tt0110912,Pulp Fiction,5zBcCuhVgll3iM4aJcaujN,You Never Can Tell
"Benny Andersson, Björn Ulvaeus",15,tt0795421,Mamma Mia!,4nI8e3fy1hHvhCvJURv5JI,Mamma Mia
"Ray Parker, Jr.",16,tt0087332,Ghostbusters,3m0y8qLoznUYi73SUBP8GI,Ghostbusters
Alan Silvestri,17,tt0088763,Back to the Future,3EqSxfk7OXM4NDjRPI56ZF,Back To The Future
Howard Shore,18,tt0903624,The Hobbit: An Unexpected Journey,1yJzoX4xPsACzVxUarXRKa,Misty Mountains
Dolly Parton,19,tt0103855,The Bodyguard,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You
Keith Forsey,20,tt0088847,The Breakfast Club,6yEAAIEHu4GcUFptg5W9kI,Don't You (Forget About Me)
Kenny Loggins,21,tt0087277,Footloose,4lUquPSQVHZv1eKuswOLsG,Footloose
"Jim Jacobs, Warren Casey",22,tt0077631,Grease ,2AVkArcfALVk2X8sfPRzya,Summer Nights
Barry Gibb,23,tt0077631,Grease ,6X1D6qbVmK48uoOD9nIvVV,Grease
John Farrar,24,tt0077631,Grease ,0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want
"Jim Jacobs, Warren Casey",25,tt0077631,Grease ,1XNE0QfNjdroSdosMIk8F6,Greased Lightnin'
Jason Adams,26,tt0356150,EuroTrip,6WA2WJmHT5jCJfx88H0pbJ,Scotty Doesn't Know
Elton John,27,tt6105098,The Lion King,0GrhBz0am9KFJ20MN9o6Lp,Circle of Life
